Date,00_CRAWLSPACE_20FEADE3_SPACE RV2024_RESILIENCE_PEOPLE,01_NORTH_71689518_SPACE RV2024_RESILIENCE_PEOPLE,01_SOUTH_13832DED_SPACE RV2024_RESILIENCE_PEOPLE,02_NORTH_8AE4EB8E_SPACE RV2024_RESILIENCE_PEOPLE,02_SOUTH_A8B4FB79_SPACE RV2024_RESILIENCE_PEOPLE,03_NORTH_E5704112_SPACE RV2024_RESILIENCE_PEOPLE
2016-01-26 00:00:00+00:00,22.956823184142618,22.77516498815577,22.727211601824422,22.67939839343968,22.790067839512176,22.733176028454082
2016-01-26 01:00:00+00:00,22.92268913386749,22.734561490036715,22.671792596732754,22.64385867095466,22.769524217904145,22.716549258098084
2016-01-26 02:00:00+00:00,22.89471848159833,22.700858245546357,22.625615144864895,22.615880636592255,22.754405387275366,22.705281194096624
2016-01-26 03:00:00+00:00,22.874359624387708,22.67500330703547,22.58884577578954,22.595319987860535,22.744589249976173,22.699216506892423
2016-01-26 04:00:00+00:00,22.855485995151124,22.652013312205,22.557193385128386,22.577032211419763,22.734239635974415,22.692497176875197
2016-01-26 05:00:00+00:00,22.834729447967252,22.627273237234917,22.52465430837728,22.556410836742923,22.720299567914395,22.682040677956376
2016-01-26 06:00:00+00:00,22.817544674310756,22.606257318416183,22.49657735810405,22.53893716201755,22.70849490700907,22.673541280932085
2016-01-26 07:00:00+00:00,22.802681552459138,22.632240294100587,22.50528867546114,22.543535814351895,22.697724092648244,22.66586136316681
2016-01-26 08:00:00+00:00,22.792345610141908,22.781336131733834,22.770202991970866,22.632127675386982,22.689306971248623,22.6602338688607
2016-01-26 09:00:00+00:00,22.79545701492287,22.806363676329138,23.11308597716416,22.690706255132895,22.684209941079047,22.656330427312
2016-01-26 10:00:00+00:00,22.820540221312342,22.847896978512964,23.422410174666194,22.69236159387891,22.690601202343455,22.66067763511973
2016-01-26 11:00:00+00:00,22.85727899676172,23.161867852145292,23.629442985552814,22.7967152116328,22.700540719298758,22.664666323580935
2016-01-26 12:00:00+00:00,22.90829491029665,23.330292457881225,23.813000722133165,23.088661534501313,22.713876479581042,22.66893034224239
2016-01-26 13:00:00+00:00,22.966840173133903,23.400702127177222,23.911159647244357,23.25656074525455,22.729699550573272,22.674403860328397
2016-01-26 14:00:00+00:00,23.022284360610836,23.319603835604653,23.692307990361773,23.317371937129238,22.74823602605933,22.682921119165794
2016-01-26 15:00:00+00:00,23.056219420549567,23.20457678265474,23.494622574021836,23.22097536051599,22.763746471415473,22.691069449252414
2016-01-26 16:00:00+00:00,23.06116263540667,23.10772290146132,23.30056658327652,23.047883079003412,22.76815574840276,22.691743770007893
2016-01-26 17:00:00+00:00,23.05831271043368,23.033148755146907,23.138179364580637,22.94171999966828,22.77554879187768,22.69790656981318
2016-01-26 18:00:00+00:00,23.047419505403976,22.977838305012153,23.039100669888608,22.864033749982084,22.780392113227972,22.703463428158667
2016-01-26 19:00:00+00:00,23.03368348677419,22.931486149579072,22.965030783004703,22.808013002269472,22.78421788930642,22.709280777773188
2016-01-26 20:00:00+00:00,23.020615906796976,22.89132985243687,22.90136883869518,22.768384514070934,22.789056835832223,22.71689762779963
2016-01-26 21:00:00+00:00,23.002660350385877,22.852408417350677,22.843667674534654,22.7350707409318,22.78764600843977,22.718808481800796
2016-01-26 22:00:00+00:00,22.98155929304163,22.81744373563491,22.794639468352344,22.7069377106346,22.781713959673322,22.716554683117412
2016-01-26 23:00:00+00:00,22.96919073123315,22.796522446443685,22.761647477793048,22.692555407447106,22.784201231495146,22.722883933181077
2016-01-27 00:00:00+00:00,22.201493322042936,22.100558644417063,22.05169884893522,22.000372149774808,22.11863654004435,22.063305507294526
2016-01-27 01:00:00+00:00,21.806248037567382,21.753471533752528,21.707607622038708,21.67452450653497,21.812493180886225,21.760408250969064
2016-01-27 02:00:00+00:00,21.506826389847117,21.464304870142303,21.424049063041352,21.40419862060668,21.556319470403675,21.506147320867928
2016-01-27 03:00:00+00:00,21.20963178270787,21.166478558954186,21.12803519141882,21.121934388402064,21.290697588569653,21.24228615670881
2016-01-27 04:00:00+00:00,20.928679316971387,20.88061996515535,20.843800024395687,20.850172607054173,21.032957101886396,20.986222231844554
2016-01-27 05:00:00+00:00,20.680216479110168,20.622629742179367,20.588884491604983,20.604816832710252,20.797205793275776,20.75202224208213
2016-01-27 06:00:00+00:00,20.466280124585854,20.398501563816826,20.368779414508097,20.391225310280316,20.589201209109252,20.54554408347953
