Date,HBPH_DWELLING_04129D8C
2016-07-12 00:00:00+00:00,25.21213166823355
2016-07-12 01:00:00+00:00,25.038644509050147
2016-07-12 02:00:00+00:00,24.885841827861242
2016-07-12 03:00:00+00:00,24.755880775969818
2016-07-12 04:00:00+00:00,24.63766187098585
2016-07-12 05:00:00+00:00,24.628000651382
2016-07-12 06:00:00+00:00,24.825036216605366
2016-07-12 07:00:00+00:00,25.204123725510765
2016-07-12 08:00:00+00:00,25.437490885611414
2016-07-12 09:00:00+00:00,25.507235495683588
2016-07-12 10:00:00+00:00,25.46312869228238
2016-07-12 11:00:00+00:00,25.37634912941506
2016-07-12 12:00:00+00:00,25.291296580230462
2016-07-12 13:00:00+00:00,25.15455057043383
2016-07-12 14:00:00+00:00,25.116941589610047
2016-07-12 15:00:00+00:00,25.12770662243432
2016-07-12 16:00:00+00:00,25.125457585609666
2016-07-12 17:00:00+00:00,25.298259753762512
2016-07-12 18:00:00+00:00,25.431513791044143
2016-07-12 19:00:00+00:00,25.451934583038753
2016-07-12 20:00:00+00:00,25.471535233742852
2016-07-12 21:00:00+00:00,25.494924770468682
2016-07-12 22:00:00+00:00,25.50999149824929
2016-07-12 23:00:00+00:00,25.40454658701311
2016-07-13 00:00:00+00:00,25.2713609797455
2016-07-13 01:00:00+00:00,25.149414458807474
2016-07-13 02:00:00+00:00,24.979586898580735
2016-07-13 03:00:00+00:00,24.830796015162097
2016-07-13 04:00:00+00:00,24.73685651159106
2016-07-13 05:00:00+00:00,24.760247158711024
2016-07-13 06:00:00+00:00,24.92515504669164
2016-07-13 07:00:00+00:00,25.300914302154506
2016-07-13 08:00:00+00:00,25.71363270379293
2016-07-13 09:00:00+00:00,26.027414135285387
2016-07-13 10:00:00+00:00,26.289086003097538
2016-07-13 11:00:00+00:00,26.493184756838534
2016-07-13 12:00:00+00:00,26.73326803783944
2016-07-13 13:00:00+00:00,27.016065391145364
2016-07-13 14:00:00+00:00,28.020399090220383
2016-07-13 15:00:00+00:00,28.35935107873166
2016-07-13 16:00:00+00:00,28.531239482704695
2016-07-13 17:00:00+00:00,28.60363457338464
2016-07-13 18:00:00+00:00,28.525821686609195
2016-07-13 19:00:00+00:00,28.442565977820717
2016-07-13 20:00:00+00:00,28.3759047863403
2016-07-13 21:00:00+00:00,27.40277131388557
2016-07-13 22:00:00+00:00,27.156916661332815
2016-07-13 23:00:00+00:00,27.083436400324633
2016-07-14 00:00:00+00:00,27.024378722287935
2016-07-14 01:00:00+00:00,26.91140912552203
2016-07-14 02:00:00+00:00,26.796957545089814
2016-07-14 03:00:00+00:00,26.682728642279525
2016-07-14 04:00:00+00:00,26.64682057608906
2016-07-14 05:00:00+00:00,26.87714663184954
2016-07-14 06:00:00+00:00,27.143225167601525
2016-07-14 07:00:00+00:00,27.376953959106007
2016-07-14 08:00:00+00:00,29.21219223084404
2016-07-14 09:00:00+00:00,30.112510072856594
2016-07-14 10:00:00+00:00,30.531728871128575
2016-07-14 11:00:00+00:00,30.90786932593859
2016-07-14 12:00:00+00:00,31.251604736482197
2016-07-14 13:00:00+00:00,31.54211298175811
2016-07-14 14:00:00+00:00,31.894649052611513
2016-07-14 15:00:00+00:00,31.97029978363216
2016-07-14 16:00:00+00:00,31.745404872925647
2016-07-14 17:00:00+00:00,31.563539973260074
2016-07-14 18:00:00+00:00,31.355349570136553
2016-07-14 19:00:00+00:00,31.10376365295474
2016-07-14 20:00:00+00:00,30.984142617052722
2016-07-14 21:00:00+00:00,30.93726415812107
2016-07-14 22:00:00+00:00,30.91127998992359
2016-07-14 23:00:00+00:00,31.009178765358143
2016-07-15 00:00:00+00:00,31.197565517370922
2016-07-15 01:00:00+00:00,31.354282414126676
2016-07-15 02:00:00+00:00,31.4319905852788
2016-07-15 03:00:00+00:00,31.562385097346034
2016-07-15 04:00:00+00:00,32.077504027420055
2016-07-15 05:00:00+00:00,32.49999649600441
2016-07-15 06:00:00+00:00,32.527306168991075
2016-07-15 07:00:00+00:00,32.6393762849327
2016-07-15 08:00:00+00:00,32.953603930011134
2016-07-15 09:00:00+00:00,33.48295927514136
2016-07-15 10:00:00+00:00,33.94921431470046
2016-07-15 11:00:00+00:00,34.16037726864495
2016-07-15 12:00:00+00:00,34.48928314033939
2016-07-15 13:00:00+00:00,34.72243662412851
2016-07-15 14:00:00+00:00,34.32866206175037
2016-07-15 15:00:00+00:00,34.261411847194516
2016-07-15 16:00:00+00:00,34.95384253438365
2016-07-15 17:00:00+00:00,36.281379358706815
2016-07-15 18:00:00+00:00,35.847930339381456
2016-07-15 19:00:00+00:00,35.41803556711405
2016-07-15 20:00:00+00:00,35.38644173226677
2016-07-15 21:00:00+00:00,35.233570987433694
2016-07-15 22:00:00+00:00,35.11184087325432
2016-07-15 23:00:00+00:00,35.32610003929347
2016-07-16 00:00:00+00:00,35.822421833133454
2016-07-16 01:00:00+00:00,36.40958464466394
2016-07-16 02:00:00+00:00,36.75559807111472
2016-07-16 03:00:00+00:00,36.73812985557136
2016-07-16 04:00:00+00:00,36.81032865039105
2016-07-16 05:00:00+00:00,36.72514199871034
2016-07-16 06:00:00+00:00,37.005072042375275
2016-07-16 07:00:00+00:00,37.620281361528846
2016-07-16 08:00:00+00:00,38.22477892831308
2016-07-16 09:00:00+00:00,38.60156228009482
2016-07-16 10:00:00+00:00,38.84718745817237
2016-07-16 11:00:00+00:00,38.89961809658764
2016-07-16 12:00:00+00:00,39.152472843546775
2016-07-16 13:00:00+00:00,39.64574767976118
2016-07-16 14:00:00+00:00,40.4487155177774
2016-07-16 15:00:00+00:00,41.48308255972343
2016-07-16 16:00:00+00:00,42.72973004580638
2016-07-16 17:00:00+00:00,43.61877551192686
2016-07-16 18:00:00+00:00,43.99737247418967
2016-07-16 19:00:00+00:00,44.17257314261053
2016-07-16 20:00:00+00:00,44.20720308748389
2016-07-16 21:00:00+00:00,43.95672276583821
2016-07-16 22:00:00+00:00,43.692334834538514
2016-07-16 23:00:00+00:00,43.299877181622556
2016-07-17 00:00:00+00:00,42.65396028661345
2016-07-17 01:00:00+00:00,42.170249444945085
2016-07-17 02:00:00+00:00,41.6678908588061
2016-07-17 03:00:00+00:00,41.06476745629924
2016-07-17 04:00:00+00:00,40.36144477463743
2016-07-17 05:00:00+00:00,40.02017654011514
2016-07-17 06:00:00+00:00,40.22178288074376
2016-07-17 07:00:00+00:00,40.48335888266556
2016-07-17 08:00:00+00:00,40.66155433602055
2016-07-17 09:00:00+00:00,40.824341292576726
2016-07-17 10:00:00+00:00,40.9827718135142
2016-07-17 11:00:00+00:00,41.340973871101085
2016-07-17 12:00:00+00:00,41.70339356603659
2016-07-17 13:00:00+00:00,41.9627628837255
2016-07-17 14:00:00+00:00,42.39219720989744
2016-07-17 15:00:00+00:00,42.64648140514584
2016-07-17 16:00:00+00:00,42.43141292663157
2016-07-17 17:00:00+00:00,41.922969805152775
2016-07-17 18:00:00+00:00,41.28621041525378
2016-07-17 19:00:00+00:00,40.823849989276304
2016-07-17 20:00:00+00:00,39.97604269475887
2016-07-17 21:00:00+00:00,38.15289099640675
2016-07-17 22:00:00+00:00,37.48965383901275
2016-07-17 23:00:00+00:00,37.95656888935535
2016-07-18 00:00:00+00:00,37.00673693547427
2016-07-18 01:00:00+00:00,35.96954126652057
2016-07-18 02:00:00+00:00,34.9422031981287
2016-07-18 03:00:00+00:00,34.22699844820617
2016-07-18 04:00:00+00:00,34.067562214884155
2016-07-18 05:00:00+00:00,34.8502704907952
2016-07-18 06:00:00+00:00,35.852762815518936
2016-07-18 07:00:00+00:00,36.66051902752131
2016-07-18 08:00:00+00:00,37.6219727359281
2016-07-18 09:00:00+00:00,38.46218111360587
2016-07-18 10:00:00+00:00,39.100648919902135
2016-07-18 11:00:00+00:00,39.32821641909237
2016-07-18 12:00:00+00:00,39.2484590786911
2016-07-18 13:00:00+00:00,39.0506093149871
2016-07-18 14:00:00+00:00,38.880933415747045
2016-07-18 15:00:00+00:00,38.50464308601061
2016-07-18 16:00:00+00:00,38.00760296735448
2016-07-18 17:00:00+00:00,37.77133590299089
2016-07-18 18:00:00+00:00,37.60071270544944
2016-07-18 19:00:00+00:00,37.42010133571651
2016-07-18 20:00:00+00:00,37.60045978424622
2016-07-18 21:00:00+00:00,37.8475622946764
2016-07-18 22:00:00+00:00,38.1057518494076
2016-07-18 23:00:00+00:00,38.44833111942771
2016-07-19 00:00:00+00:00,38.66214173953911
2016-07-19 01:00:00+00:00,38.661859753733
2016-07-19 02:00:00+00:00,38.33858922785779
2016-07-19 03:00:00+00:00,37.882586951657345
2016-07-19 04:00:00+00:00,37.58452175080428
2016-07-19 05:00:00+00:00,37.40032816198903
2016-07-19 06:00:00+00:00,37.37880783152981
2016-07-19 07:00:00+00:00,37.66024535717168
2016-07-19 08:00:00+00:00,38.0177595272947
2016-07-19 09:00:00+00:00,38.29625809537199
2016-07-19 10:00:00+00:00,38.60068636352329
2016-07-19 11:00:00+00:00,39.040402329209115
2016-07-19 12:00:00+00:00,39.47727783901829
2016-07-19 13:00:00+00:00,39.81776415705935
2016-07-19 14:00:00+00:00,39.470477161249065
2016-07-19 15:00:00+00:00,38.326413755358374
2016-07-19 16:00:00+00:00,38.39261260723216
2016-07-19 17:00:00+00:00,38.29934645218048
2016-07-19 18:00:00+00:00,37.89300003616956
2016-07-19 19:00:00+00:00,37.047793763839216
2016-07-19 20:00:00+00:00,36.43087202454607
2016-07-19 21:00:00+00:00,36.174904929847
2016-07-19 22:00:00+00:00,35.8016245778747
2016-07-19 23:00:00+00:00,35.49491823231124
2016-07-20 00:00:00+00:00,35.36225369131456
2016-07-20 01:00:00+00:00,35.22143737950173
2016-07-20 02:00:00+00:00,35.10120848321033
2016-07-20 03:00:00+00:00,34.79132435852183
2016-07-20 04:00:00+00:00,33.78642771349329
2016-07-20 05:00:00+00:00,32.79778660967677
2016-07-20 06:00:00+00:00,32.05466895196363
2016-07-20 07:00:00+00:00,31.512362893169406
2016-07-20 08:00:00+00:00,31.293578298171507
2016-07-20 09:00:00+00:00,31.20299552974626
2016-07-20 10:00:00+00:00,31.02419795766166
2016-07-20 11:00:00+00:00,30.954947955073575
2016-07-20 12:00:00+00:00,30.85551819114706
2016-07-20 13:00:00+00:00,30.652724268735593
2016-07-20 14:00:00+00:00,30.49804219861633
2016-07-20 15:00:00+00:00,30.497862584441055
2016-07-20 16:00:00+00:00,30.737656164334993
2016-07-20 17:00:00+00:00,30.647166790660048
2016-07-20 18:00:00+00:00,30.567011598303974
2016-07-20 19:00:00+00:00,30.546655810993553
2016-07-20 20:00:00+00:00,30.60143936255511
2016-07-20 21:00:00+00:00,30.58765565714491
2016-07-20 22:00:00+00:00,30.50750080999677
2016-07-20 23:00:00+00:00,30.386732920300247
2016-07-21 00:00:00+00:00,27.49888815655608
2016-07-21 01:00:00+00:00,26.206390579450254
2016-07-21 02:00:00+00:00,25.73504288870572
2016-07-21 03:00:00+00:00,25.376954341214386
2016-07-21 04:00:00+00:00,25.046788404866216
2016-07-21 05:00:00+00:00,24.96200120154312
2016-07-21 06:00:00+00:00,25.044538745357674
2016-07-21 07:00:00+00:00,25.04823186008927
2016-07-21 08:00:00+00:00,25.152500209237143
2016-07-21 09:00:00+00:00,25.00847444673555
2016-07-21 10:00:00+00:00,24.928158075316205
2016-07-21 11:00:00+00:00,25.002062586343765
2016-07-21 12:00:00+00:00,24.978154903076078
2016-07-21 13:00:00+00:00,24.966014355194385
2016-07-21 14:00:00+00:00,25.00119754810042
2016-07-21 15:00:00+00:00,25.079403595658118
2016-07-21 16:00:00+00:00,25.112987358229947
2016-07-21 17:00:00+00:00,25.166026482151306
2016-07-21 18:00:00+00:00,25.199207584937724
2016-07-21 19:00:00+00:00,25.231502574106255
2016-07-21 20:00:00+00:00,25.245250230108752
2016-07-21 21:00:00+00:00,25.254792772126255
2016-07-21 22:00:00+00:00,25.24707988864724
2016-07-21 23:00:00+00:00,25.176504510362367
